run_id,campaign_id,configuration,repo,size_class,file_count,loc,repetition,pipeline_success,pipeline_time_seconds,build_time_seconds,initial_trivy_seconds,initial_semgrep_seconds,initial_gitleaks_seconds,post_trivy_seconds,post_semgrep_seconds,post_gitleaks_seconds,initial_scanner_time_seconds,post_scanner_time_seconds,total_scanner_time_seconds,remediation_time_seconds,policy_time_seconds
20260713T133956694924Z_C4_AgentsOnly_controlled_api_m_r2,expanded_20260713_cached_r3,C4_AgentsOnly,controlled_api_m,medium,28,206,2,True,19.296096200007014,0.38889139995444566,2.0399036000017077,7.943733400024939,0.5335518000065349,1.5324719999916852,6.040323099994566,0.42000610003015026,10.517188800033182,7.992801200016402,18.509990000049584,0.28080120001686737,0.0
20260713T134016143036Z_C5_SecFlowOps_controlled_api_m_r2,expanded_20260713_cached_r3,C5_SecFlowOps,controlled_api_m,medium,28,206,2,True,15.908491800015327,0.262464799976442,1.4466803999966942,5.685666400007904,0.4351517000468448,1.4439449000055902,5.693024199979845,0.44031819998053834,7.5674985000514425,7.577287299965974,15.144785800017416,0.2904393000062555,0.09647769998991862
20260713T134032145774Z_C0_BuildOnly_controlled_api_l_r2,expanded_20260713_cached_r3,C0_BuildOnly,controlled_api_l,large,58,341,2,True,0.18098880001343787,0.17775309999706224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260713T134032424737Z_C1_NonBlockingScanning_controlled_api_l_r2,expanded_20260713_cached_r3,C1_NonBlockingScanning,controlled_api_l,large,58,341,2,True,8.050475399999414,0.17216780001763254,1.384444200026337,5.960092300025281,0.4803422000259161,0.0,0.0,0.0,7.824878700077534,0.0,7.824878700077534,0.0,0.0
20260713T134040575095Z_C2_AutoScanning_controlled_api_l_r2,expanded_20260713_cached_r3,C2_AutoScanning,controlled_api_l,large,58,341,2,True,8.144191399973352,0.20296439999947324,1.3596482999855652,6.064509399991948,0.46538930002134293,0.0,0.0,0.0,7.889546999998856,0.0,7.889546999998856,0.0,0.0
20260713T134048826343Z_C3_PolicyOnly_controlled_api_l_r2,expanded_20260713_cached_r3,C3_PolicyOnly,controlled_api_l,large,58,341,2,False,8.311167300038505,0.18265319999773055,1.3936377000063658,5.924107900005765,0.642521699948702,0.0,0.0,0.0,7.960267299960833,0.0,7.960267299960833,0.0,0.10110549995442852
20260713T134057238968Z_C4_AgentsOnly_controlled_api_l_r2,expanded_20260713_cached_r3,C4_AgentsOnly,controlled_api_l,large,58,341,2,True,15.94896740000695,0.21829109999816865,1.522089899983257,6.105393000005279,0.4561721999780275,1.3270327000063844,5.577985399984755,0.4249351000180468,8.083655099966563,7.329953200009186,15.413608299975749,0.22313970001414418,0.0
20260713T134113318349Z_C5_SecFlowOps_controlled_api_l_r2,expanded_20260713_cached_r3,C5_SecFlowOps,controlled_api_l,large,58,341,2,True,18.041490399977192,0.1826168999541551,1.864369400020223,6.668601799989119,0.6328800999908708,1.5736841000034474,6.1339730999898165,0.4654970000265166,9.165851300000213,8.17315420001978,17.339005500019994,0.2507909999694675,0.1333013999974355
20260713T134131457833Z_C0_BuildOnly_controlled_api_xl_r2,expanded_20260713_cached_r3,C0_BuildOnly,controlled_api_xl,xlarge,108,566,2,True,0.3473206000053324,0.3406688999966718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260713T134131987605Z_C1_NonBlockingScanning_controlled_api_xl_r2,expanded_20260713_cached_r3,C1_NonBlockingScanning,controlled_api_xl,xlarge,108,566,2,True,9.696382599999197,0.3238274999894202,2.1638560999999754,6.469864599988796,0.6622060000081547,0.0,0.0,0.0,9.295926699996926,0.0,9.295926699996926,0.0,0.0
20260713T134141962021Z_C2_AutoScanning_controlled_api_xl_r2,expanded_20260713_cached_r3,C2_AutoScanning,controlled_api_xl,xlarge,108,566,2,True,9.04645259998506,0.266255300026387,1.661504999967292,6.480224099999759,0.5794084999943152,0.0,0.0,0.0,8.721137599961367,0.0,8.721137599961367,0.0,0.0
20260713T134151199984Z_C3_PolicyOnly_controlled_api_xl_r2,expanded_20260713_cached_r3,C3_PolicyOnly,controlled_api_xl,xlarge,108,566,2,False,9.235059299971908,0.1989913000143133,1.5370209999964572,6.560702799994033,0.7328914999961853,0.0,0.0,0.0,8.830615299986675,0.0,8.830615299986675,0.0,0.14631080004619434
20260713T134200641258Z_C4_AgentsOnly_controlled_api_xl_r2,expanded_20260713_cached_r3,C4_AgentsOnly,controlled_api_xl,xlarge,108,566,2,True,17.404542299977038,0.2963103000074625,1.7429292000015266,6.567560700001195,0.47015840001404285,1.3743820999516174,6.113480900006834,0.45135129999835044,8.780648300016765,7.939214299956802,16.719862599973567,0.2684350999770686,0.0
20260713T134218306444Z_C5_SecFlowOps_controlled_api_xl_r2,expanded_20260713_cached_r3,C5_SecFlowOps,controlled_api_xl,xlarge,108,566,2,True,18.252931500028353,0.2532170999911614,1.6675596000277437,7.501524000021163,0.47248200001195073,1.4000550000346266,6.031622399983462,0.43697169999359176,9.641565600060858,7.86864910001168,17.510214700072538,0.23979000002145767,0.1384711000137031
20260713T134236796608Z_C0_BuildOnly_controlled_api_xxl_r2,expanded_20260713_cached_r3,C0_BuildOnly,controlled_api_xxl,xxlarge,208,1016,2,True,0.20296670001698658,0.19944260001648217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260713T134237268901Z_C1_NonBlockingScanning_controlled_api_xxl_r2,expanded_20260713_cached_r3,C1_NonBlockingScanning,controlled_api_xxl,xxlarge,208,1016,2,True,9.09514519997174,0.19713920005597174,1.5530250000301749,6.841324599983636,0.44648280000546947,0.0,0.0,0.0,8.84083240001928,0.0,8.84083240001928,0.0,0.0
