run_id,campaign_id,configuration,repo,size_class,origin_type,stack,file_count,loc,repetition,pipeline_success,pipeline_time_seconds,build_time_seconds,initial_trivy_seconds,initial_semgrep_seconds,initial_gitleaks_seconds,post_trivy_seconds,post_semgrep_seconds,post_gitleaks_seconds,initial_scanner_time_seconds,post_scanner_time_seconds,total_scanner_time_seconds,remediation_time_seconds,policy_time_seconds
20260713T162800408241Z_C2_AutoScanning_external_requests_r2,external_20260713_r3_baselines,C2_AutoScanning,external_requests,unknown,external_oss_library,python;pip,130,19464,2,True,13.262249399966095,0.04967979999491945,1.8301296000136063,10.809744000027422,0.5081067000282928,0.0,0.0,0.0,13.147980300069321,0.0,13.147980300069321,0.0,0.0
20260713T162813846033Z_C3_PolicyOnly_external_requests_r2,external_20260713_r3_baselines,C3_PolicyOnly,external_requests,unknown,external_oss_library,python;pip,130,19464,2,True,14.5116357000079,0.04873310000402853,2.0035881999647245,11.771669499983545,0.5453307999996468,0.0,0.0,0.0,14.320588499947917,0.0,14.320588499947917,0.0,0.08491620002314448
20260713T162828587173Z_C4_AgentsOnly_external_requests_r2,external_20260713_r3_baselines,C4_AgentsOnly,external_requests,unknown,external_oss_library,python;pip,130,19464,2,True,28.2426051000366,0.05059100000653416,2.0599559999536723,10.966231199970935,0.7688872999860905,1.9043562000151724,10.677020300005097,0.49957380001433194,13.795074499910697,13.080950300034601,26.8760247999453,1.1915632000309415,0.0
20260713T162857043089Z_C5_SecFlowOps_external_requests_r2,external_20260713_r3_baselines,C5_SecFlowOps,external_requests,unknown,external_oss_library,python;pip,130,19464,2,True,29.174630999972578,0.06003939994843677,1.906463299994357,11.906839100003708,0.5583139000227675,1.623513099970296,11.058758899976965,0.515868800051976,14.371616300020833,13.198140799999237,27.56975710002007,1.351882899994962,0.08502339996630326
20260713T162926443102Z_C1_NonBlockingScanning_external_flask_r2,external_20260713_r3_baselines,C1_NonBlockingScanning,external_flask,unknown,external_oss_framework,python;pip,236,36436,2,True,15.327569800021593,0.058156799990683794,2.3061564000090584,11.885866000025999,1.0171261999639682,0.0,0.0,0.0,15.209148599999025,0.0,15.209148599999025,0.0,0.0
20260713T162942168386Z_C2_AutoScanning_external_flask_r2,external_20260713_r3_baselines,C2_AutoScanning,external_flask,unknown,external_oss_framework,python;pip,236,36436,2,True,15.462658800010104,0.10556380002526566,2.554521800018847,12.187006200023461,0.535422999993898,0.0,0.0,0.0,15.276951000036206,0.0,15.276951000036206,0.0,0.0
20260713T162958228266Z_C3_PolicyOnly_external_flask_r2,external_20260713_r3_baselines,C3_PolicyOnly,external_flask,unknown,external_oss_framework,python;pip,236,36436,2,True,14.404990100010764,0.047274500015191734,1.9896527000237256,11.281301799986977,0.8269011999946088,0.0,0.0,0.0,14.097855700005312,0.0,14.097855700005312,0.0,0.1704780000145547
20260713T163012960546Z_C4_AgentsOnly_external_flask_r2,external_20260713_r3_baselines,C4_AgentsOnly,external_flask,unknown,external_oss_framework,python;pip,236,36436,2,True,28.363866200030316,0.047955300018657,2.417820400034543,11.403847399982624,0.5261292000068352,1.6732015000307001,10.727415400033351,0.6124150999821723,14.347797000024002,13.013032000046223,27.360829000070225,0.8427420000080019,0.0
20260713T163041817375Z_C5_SecFlowOps_external_flask_r2,external_20260713_r3_baselines,C5_SecFlowOps,external_flask,unknown,external_oss_framework,python;pip,236,36436,2,True,31.529268399986904,0.051339900004677474,2.574072999996133,12.318321899976581,0.5781293999752961,1.4470937000005506,12.953194100002293,0.60023669997463,15.47052429994801,15.000524499977473,30.471048799925484,0.799282799998764,0.08981249999487773
20260713T163113679111Z_C1_NonBlockingScanning_external_express_r2,external_20260713_r3_baselines,C1_NonBlockingScanning,external_express,unknown,external_oss_framework,javascript;npm,213,26700,2,True,14.373021500010509,0.06035059998976067,1.8135400000028312,11.789499100006651,0.6534242000197992,0.0,0.0,0.0,14.256463300029282,0.0,14.256463300029282,0.0,0.0
20260713T163128408296Z_C2_AutoScanning_external_express_r2,external_20260713_r3_baselines,C2_AutoScanning,external_express,unknown,external_oss_framework,javascript;npm,213,26700,2,True,13.827841599995736,0.05149419995723292,1.6040791000123136,11.403998999972828,0.7047663000412285,0.0,0.0,0.0,13.71284440002637,0.0,13.71284440002637,0.0,0.0
20260713T163142564858Z_C3_PolicyOnly_external_express_r2,external_20260713_r3_baselines,C3_PolicyOnly,external_express,unknown,external_oss_framework,javascript;npm,213,26700,2,True,13.544657899998128,0.05746529996395111,1.6183834000257775,11.16089009999996,0.5691438000067137,0.0,0.0,0.0,13.348417300032452,0.0,13.348417300032452,0.0,0.0868437000317499
20260713T163156704359Z_C4_AgentsOnly_external_express_r2,external_20260713_r3_baselines,C4_AgentsOnly,external_express,unknown,external_oss_framework,javascript;npm,213,26700,2,True,28.27792100002989,0.04488840000703931,1.48873729998013,12.055781800008845,0.5988289999659173,1.404433399962727,12.079220500017982,0.4939408000209369,14.143348099954892,13.977594700001646,28.120942799956538,0.0023484999546781182,0.0
20260713T163225296542Z_C5_SecFlowOps_external_express_r2,external_20260713_r3_baselines,C5_SecFlowOps,external_express,unknown,external_oss_framework,javascript;npm,213,26700,2,True,29.23401879996527,0.047395600005984306,1.6696029000449926,13.546327200019732,0.5995433999923989,1.5360127000021748,11.180784500029404,0.4586450000060722,15.815473500057124,13.17544220003765,28.990915700094774,0.00146540004061535,0.0860132000525482
20260713T163254850882Z_C1_NonBlockingScanning_external_nodegoat_r2,external_20260713_r3_baselines,C1_NonBlockingScanning,external_nodegoat,unknown,external_security_benchmark,javascript;npm;docker,111,42046,2,True,13.971160900022369,0.07501259999116883,1.9275207999744453,11.182337699981872,0.7161546999705024,0.0,0.0,0.0,13.82601319992682,0.0,13.82601319992682,0.0,0.0
20260713T163309186472Z_C2_AutoScanning_external_nodegoat_r2,external_20260713_r3_baselines,C2_AutoScanning,external_nodegoat,unknown,external_security_benchmark,javascript;npm;docker,111,42046,2,True,13.728827799961437,0.05302849999861792,1.7784646999789402,10.926873099990189,0.906714299984742,0.0,0.0,0.0,13.612052099953871,0.0,13.612052099953871,0.0,0.0
20260713T163323142776Z_C3_PolicyOnly_external_nodegoat_r2,external_20260713_r3_baselines,C3_PolicyOnly,external_nodegoat,unknown,external_security_benchmark,javascript;npm;docker,111,42046,2,False,13.788454100023955,0.06121680000796914,1.879656100005377,11.018898500013165,0.6593879999709316,0.0,0.0,0.0,13.557942599989474,0.0,13.557942599989474,0.0,0.10303609998663887
20260713T163337155845Z_C4_AgentsOnly_external_nodegoat_r2,external_20260713_r3_baselines,C4_AgentsOnly,external_nodegoat,unknown,external_security_benchmark,javascript;npm;docker,111,42046,2,True,26.311341100023128,0.06356989999767393,1.7970449999556877,10.925468600005843,0.6768904000055045,1.4016802000114694,10.680884699977469,0.6247720000101253,13.399403999967035,12.707336899999063,26.1067408999661,0.016630000027362257,0.0
20260713T163403679051Z_C5_SecFlowOps_external_nodegoat_r2,external_20260713_r3_baselines,C5_SecFlowOps,external_nodegoat,unknown,external_security_benchmark,javascript;npm;docker,111,42046,2,False,26.060307000007015,0.05888010002672672,1.8243051000172272,10.735052899981383,0.664416000014171,1.438741600024514,10.599299199995585,0.4995401999913156,13.223774000012781,12.537581000011414,25.761355000024196,0.013313799980096519,0.1047893000068143
20260713T163429932785Z_C1_NonBlockingScanning_external_dvna_r2,external_20260713_r3_baselines,C1_NonBlockingScanning,external_dvna,unknown,external_security_benchmark,javascript;npm;docker,151,12278,2,True,14.418629399966449,0.04488790000323206,2.000736100017093,11.766888500016648,0.5545237999758683,0.0,0.0,0.0,14.32214840000961,0.0,14.32214840000961,0.0,0.0
20260713T163444572897Z_C2_AutoScanning_external_dvna_r2,external_20260713_r3_baselines,C2_AutoScanning,external_dvna,unknown,external_security_benchmark,javascript;npm;docker,151,12278,2,True,13.582998999976553,0.043588000000454485,1.889165000000503,11.090338799986057,0.5024649000260979,0.0,0.0,0.0,13.481968700012658,0.0,13.481968700012658,0.0,0.0
20260713T163458381953Z_C3_PolicyOnly_external_dvna_r2,external_20260713_r3_baselines,C3_PolicyOnly,external_dvna,unknown,external_security_benchmark,javascript;npm;docker,151,12278,2,True,13.779425200016703,0.04311490000691265,1.8010369999683462,11.184874200029299,0.5821812000358477,0.0,0.0,0.0,13.568092400033493,0.0,13.568092400033493,0.0,0.10656579997157678
20260713T163512383905Z_C4_AgentsOnly_external_dvna_r2,external_20260713_r3_baselines,C4_AgentsOnly,external_dvna,unknown,external_security_benchmark,javascript;npm;docker,151,12278,2,True,26.416558100027032,0.09428749996004626,1.9345800000010058,10.997727200039662,0.5288905000197701,1.3440841000410728,10.843810100050177,0.5383702000253834,13.461197700060438,12.726264400116634,26.187462100177072,0.01372860005358234,0.0
